Id,TimeWindow,NumberOfEstimators,StackingMethod,EncodingOfCyclicalAttributes,LogLoss
0,24,3,soft_voting,cyclical,2.57219
1,72,3,soft_voting,cyclical,2.56843
2,168,3,soft_voting,cyclical,2.56850
3,336,3,soft_voting,cyclical,2.56833
4,24,3,clf,cyclical,2.57666
5,72,3,clf,cyclical,2.57309
6,168,3,clf,cyclical,2.57255
7,336,3,clf,cyclical,2.57191
8,24,5,soft_voting,cyclical,2.57116
9,72,5,soft_voting,cyclical,2.56866
10,168,5,soft_voting,cyclical,2.56757
11,336,5,soft_voting,cyclical,2.56804
12,24,5,clf,cyclical,2.57393
13,72,5,clf,cyclical,2.57061
14,168,5,clf,cyclical,2.56897
15,336,5,clf,cyclical,2.56874
16,24,7,soft_voting,cyclical,2.57220
17,72,7,soft_voting,cyclical,2.56863
18,168,7,soft_voting,cyclical,2.56771
19,336,7,soft_voting,cyclical,2.56776
20,24,7,clf,cyclical,2.57246
21,72,7,clf,cyclical,2.56859
22,168,7,clf,cyclical,2.56702
23,336,7,clf,cyclical,2.56681
24,24,3,soft_voting,onehot,2.56834
25,72,3,soft_voting,onehot,2.56289
26,168,3,soft_voting,onehot,2.56267
27,336,3,soft_voting,onehot,2.56283
28,24,3,clf,onehot,2.57222
29,72,3,clf,onehot,2.56760
30,168,3,clf,onehot,2.56613
31,336,3,clf,onehot,2.56612
32,24,5,soft_voting,onehot,2.56550
33,72,5,soft_voting,onehot,2.56239
34,168,5,soft_voting,onehot,2.56214
35,336,5,soft_voting,onehot,2.56258
36,24,5,clf,onehot,2.56791
37,72,5,clf,onehot,2.56464
38,168,5,clf,onehot,2.56284
39,336,5,clf,onehot,2.56241
40,24,7,soft_voting,onehot,2.56629
41,72,7,soft_voting,onehot,2.56261
42,168,7,soft_voting,onehot,2.56212
43,336,7,soft_voting,onehot,2.56126
44,24,7,clf,onehot,2.56673
45,72,7,clf,onehot,2.56334
46,168,7,clf,onehot,2.56178
47,336,7,clf,onehot,2.56077
